Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID60,4.0,1.5,5.8,9.2,6.55,5.8,6.51,6.22,6.76,5.2,5.2,3.9,6.7,5.6,8.3,6.2,100.0,True
ID61,5.0,7.0,4.5,4.5,4.51,5.81,7.25,7.32,4.46,6.4,6.4,5.6,5.3,7.6,4.9,8.2,100.0,True
ID62,4.9,5.7,7.0,9.2,6.03,5.81,6.61,6.28,4.75,5.0,6.0,5.9,4.7,6.1,6.2,5.4,100.0,True
ID63,4.6,3.5,6.7,7.8,6.54,6.16,6.14,4.57,4.49,5.4,4.9,4.8,7.0,4.5,7.2,6.5,100.0,True
ID64,6.1,4.2,6.4,8.3,5.85,5.57,6.61,6.48,5.44,4.9,4.6,3.8,5.0,5.2,6.5,6.2,93.4,True
ID65,5.2,4.5,3.7,9.3,5.05,5.56,5.73,4.78,5.8,5.4,4.4,4.5,4.6,5.4,7.2,7.0,100.0,True
ID66,4.6,4.3,5.8,8.0,6.54,4.8,5.18,4.56,5.86,4.8,4.7,3.4,5.1,4.7,8.1,8.2,100.0,True
ID67,3.1,3.9,5.3,9.7,7.52,5.22,5.17,4.39,8.31,4.4,3.7,3.0,6.0,3.6,9.7,6.8,69.4,True
ID68,4.3,4.7,5.5,6.7,6.26,5.2,5.55,4.82,5.02,5.9,4.5,4.0,5.3,4.5,8.0,7.1,100.0,True
ID69,4.8,6.1,5.3,5.9,5.93,5.36,5.96,5.15,5.15,3.9,5.0,5.7,5.0,5.2,6.7,6.9,74.5,True
ID70,3.9,3.4,4.5,6.6,6.58,4.17,6.22,5.55,8.54,5.3,4.8,5.0,5.0,5.0,7.7,8.3,84.3,True
ID71,4.5,3.4,5.3,9.9,6.8,5.32,6.06,5.21,6.26,5.0,3.6,2.7,5.9,4.1,9.1,7.9,100.0,True
ID73,5.1,4.4,8.1,9.2,5.73,7.0,6.67,5.41,6.45,7.6,5.9,7.1,8.1,5.3,5.9,6.3,100.0,True
ID72,6.2,4.1,5.9,8.0,4.3,5.76,9.21,5.92,4.4,6.7,6.8,5.6,6.0,8.0,5.8,9.9,100.0,True
ID74,4.4,6.1,5.6,4.9,6.49,5.87,4.99,4.56,6.08,4.6,5.2,5.8,5.8,5.3,6.6,6.4,49.8,True
ID75,5.3,4.1,4.9,9.5,7.13,5.26,6.63,5.21,5.38,4.9,4.9,3.9,4.2,4.3,8.1,6.5,100.0,True
ID76,4.4,4.8,5.3,5.7,5.36,5.7,7.27,5.82,4.67,5.2,5.5,5.2,5.4,6.5,4.9,9.0,100.0,True
ID77,7.2,3.8,6.5,9.4,5.86,6.1,4.94,7.33,6.42,5.0,5.5,6.1,5.3,5.5,5.6,6.9,100.0,True
ID78,6.9,5.5,4.5,7.5,5.51,5.75,7.51,6.75,3.48,5.0,5.5,4.7,4.7,6.0,6.1,8.2,100.0,True
ID79,5.4,7.2,7.9,8.2,6.1,6.29,6.73,6.41,4.89,6.4,5.8,5.2,6.5,6.2,7.1,4.7,100.0,True
ID81,5.2,5.2,4.5,8.5,5.07,5.98,7.33,7.09,4.6,6.5,6.5,6.6,6.1,5.7,6.9,7.4,100.0,True
ID82,4.7,6.0,2.6,4.1,5.39,6.61,7.86,6.68,3.11,5.4,5.4,5.5,6.5,6.1,6.3,8.8,100.0,True
ID83,3.5,7.9,5.3,4.7,4.21,7.31,7.59,8.1,4.7,6.3,8.3,6.7,6.3,7.8,4.7,9.6,100.0,True
ID84,5.0,5.5,6.1,5.9,6.36,4.47,5.53,5.42,5.25,5.2,5.6,4.6,4.8,5.8,6.6,6.6,52.6,True
ID85,4.5,5.3,5.6,5.3,6.11,5.21,6.31,5.63,5.09,6.3,5.7,5.6,5.9,5.7,5.9,7.4,82.4,True
ID86,5.1,7.9,4.5,3.7,5.28,6.8,7.88,9.65,4.04,5.8,6.8,5.5,4.5,7.9,5.3,7.8,100.0,True
ID87,7.9,5.9,4.7,8.1,5.96,5.84,6.66,6.08,4.34,4.7,5.4,5.8,4.6,6.8,6.4,6.7,100.0,True
ID88,7.5,4.7,6.2,8.5,6.04,6.34,6.7,6.22,6.8,6.0,4.8,3.8,4.5,5.2,6.3,8.4,100.0,True
ID89,4.6,3.9,4.3,7.5,7.12,4.69,4.38,4.69,8.32,5.0,4.1,4.1,5.1,4.0,9.3,8.9,100.0,True
ID91,4.8,3.3,4.5,7.3,8.75,3.15,3.35,2.63,9.13,4.3,3.9,2.9,4.5,3.0,9.9,6.4,58.1,True
ID92,4.3,4.0,6.6,9.6,5.15,6.39,7.02,5.97,5.28,7.3,5.8,6.2,6.1,5.5,6.5,5.3,100.0,True
ID93,3.7,2.9,4.5,6.9,6.5,4.81,6.15,5.46,5.58,4.5,4.4,5.0,4.8,4.9,7.2,7.1,100.0,True
ID94,5.1,4.1,4.2,7.5,4.56,7.48,8.06,6.54,4.05,7.6,6.9,6.9,7.3,5.4,6.1,7.2,100.0,True
ID95,5.8,4.8,5.3,7.5,5.12,6.9,6.67,6.43,5.25,5.8,6.4,6.4,5.4,6.3,6.5,6.9,100.0,True
ID97,9.9,2.4,9.8,9.9,3.69,6.65,7.57,7.28,1.44,6.7,5.9,5.5,7.8,5.3,7.2,4.8,100.0,True
ID96,5.8,9.0,5.8,6.6,5.85,5.72,7.65,6.65,5.14,6.2,5.6,4.7,5.6,6.3,6.5,5.6,100.0,True
ID98,4.8,5.0,4.0,6.7,7.58,3.86,5.11,4.22,7.85,4.2,4.2,4.0,4.9,3.8,8.3,8.1,58.1,True
ID99,4.6,2.8,4.8,8.3,6.46,5.3,6.39,6.04,6.0,5.4,4.3,4.0,5.7,4.3,7.8,6.9,100.0,True
ID101,4.6,3.6,5.3,8.0,8.04,4.5,5.4,5.86,9.27,5.7,4.6,4.2,5.1,4.4,8.2,6.0,86.4,True
ID11,,,,,,,,,,,,,,,,,34.1,False
ID43,,,,,,,,,,,,,,,,,35.7,False
ID80,,,,,,,,,,,,,,,,,34.5,False
