Participant_ID,Dominance,Influence,Steadiness,Conscientiousness,output_success
ID2,0,13,1,86,True
ID3,23,12,6,59,True
ID4,5,10,20,66,True
ID5,5,10,20,64,True
ID6,0,10,7,83,True
ID7,5,10,21,64,True
ID8,5,10,30,55,True
ID9,0,13,1,86,True
ID10,5,10,25,60,True
ID11,0,14,1,85,True
ID12,5,10,22,63,True
ID13,5,10,22,63,True
ID14,5,9,20,66,True
ID15,9,5,56,30,True
ID17,2,14,0,84,True
ID18,5,10,27,58,True
ID19,11,5,57,27,True
ID20,6,11,24,60,True
ID21,0,13,5,81,True
ID24,6,12,0,82,True
ID25,6,12,22,60,True
ID26,24,10,5,60,True
ID28,5,10,22,62,True
ID29,10,5,56,29,True
ID30,10,5,58,27,True
ID31,5,10,21,64,True
ID32,4,9,28,59,True
ID33,6,11,23,60,True
ID34,5,10,29,56,True
ID35,5,10,26,59,True
ID36,0,14,1,85,True
ID38,6,11,22,61,True
ID39,5,10,28,56,True
ID40,6,11,23,60,True
ID41,5,9,28,58,True
ID42,0,11,4,85,True
ID44,6,12,22,60,True
ID45,6,12,25,58,True
ID46,0,11,6,83,True
ID48,5,10,30,55,True
ID49,5,11,23,61,True
ID50,6,12,22,60,True
ID51,5,10,20,64,True
ID53,12,6,60,22,True
ID54,6,11,24,59,True
ID55,0,13,4,83,True
ID56,12,6,60,22,True
ID58,10,5,55,30,True
ID59,10,5,55,30,True
ID60,3,14,0,83,True
ID61,12,6,59,23,True
ID62,12,6,60,22,True
ID63,0,13,3,85,True
ID64,4,9,29,58,True
ID65,11,5,61,23,True
ID67,5,10,27,58,True
ID68,0,12,5,83,True
ID69,12,6,59,23,True
ID70,6,12,20,62,True
ID71,4,9,30,56,True
ID72,5,10,22,63,True
ID73,11,5,55,29,True
ID74,10,5,61,24,True
ID75,5,10,22,64,True
ID76,5,10,27,57,True
ID77,5,11,25,59,True
ID78,5,11,21,63,True
ID79,0,13,1,86,True
ID80,0,12,2,86,True
ID81,5,11,23,61,True
ID82,5,10,27,58,True
ID83,5,10,28,57,True
ID84,9,4,58,29,True
ID85,4,8,21,67,True
ID86,0,12,3,85,True
ID87,6,11,23,60,True
ID88,5,9,30,56,True
ID89,10,5,61,24,True
ID91,2,12,0,86,True
ID92,0,13,4,83,True
ID93,2,12,0,86,True
ID94,6,11,21,63,True
ID95,5,9,31,55,True
ID96,2,12,0,86,True
ID97,26,12,6,56,True
ID98,5,10,30,55,True
ID99,5,10,26,59,True
ID100,6,11,23,60,True
ID101,6,13,22,59,True
