Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreeableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID41,6.0,5.2,4.4,7.0,8.41,5.08,5.4,6.06,5.15,4.9,5.9,5.5,5.3,4.9,4.8,5.6,100.0,True
ID42,7.3,4.8,5.0,7.0,6.43,5.46,3.92,4.34,6.52,4.6,4.3,5.2,5.4,4.7,6.4,7.5,56.9,True
ID44,6.3,4.1,4.6,9.4,8.0,6.78,3.55,3.8,5.58,4.3,6.1,5.1,5.4,3.1,8.9,7.1,76.9,True
ID45,5.7,4.6,7.4,9.3,6.66,5.64,3.27,5.5,5.77,5.5,4.8,3.7,4.9,4.0,8.7,3.6,80.6,True
ID46,8.1,3.8,3.4,7.5,5.92,5.15,3.37,3.72,5.01,2.9,4.2,4.7,4.4,3.8,9.1,7.4,66.9,True
ID48,7.8,7.7,3.5,3.3,6.48,5.55,5.07,7.1,6.93,3.3,6.1,4.6,4.2,7.0,5.4,8.2,55.1,True
ID49,7.9,5.0,3.3,6.8,5.92,5.61,2.94,4.76,6.93,5.7,4.5,5.6,5.8,5.3,7.5,7.5,50.3,True
ID50,6.6,5.0,3.1,8.6,5.92,5.68,5.04,4.97,6.69,5.8,5.0,5.5,4.6,4.7,7.0,9.3,66.1,True
ID51,9.4,4.4,4.4,6.2,5.23,5.72,3.14,5.99,7.13,4.7,4.3,3.8,3.9,5.5,6.7,6.9,64.2,True
ID53,6.1,4.5,4.3,7.9,4.8,5.9,5.62,5.19,4.84,4.2,5.3,4.0,4.0,4.8,7.4,6.3,67.3,True
ID54,5.3,4.4,8.8,9.3,6.44,6.7,3.63,6.83,6.33,5.5,5.3,5.5,6.1,5.0,6.9,6.9,100.0,True
ID55,6.3,4.4,5.8,9.2,7.42,4.61,5.19,6.16,6.26,5.8,5.6,5.0,5.1,4.7,5.6,4.3,65.6,True
ID56,7.4,6.9,4.2,7.7,6.71,5.63,4.17,5.65,6.39,5.2,5.7,4.9,4.3,4.9,7.0,6.3,47.2,True
ID58,8.4,4.3,4.3,9.7,6.01,6.05,3.63,4.86,5.14,5.5,5.4,3.9,3.9,4.9,7.8,8.4,60.6,True
ID59,7.6,5.0,5.2,9.7,6.78,4.27,4.78,6.1,6.43,2.8,5.2,4.1,4.1,5.5,8.0,4.1,56.3,True
ID60,7.5,3.3,5.8,8.7,8.34,5.49,2.43,4.13,6.65,1.9,5.0,5.0,5.5,3.9,8.0,4.6,53.1,True
ID61,6.7,4.9,6.4,8.3,6.38,5.74,3.66,6.48,5.16,3.7,5.5,4.5,4.6,6.1,7.8,6.4,71.0,True
ID62,6.1,4.5,6.1,7.9,5.24,4.8,4.89,6.38,3.18,2.2,5.0,4.2,4.6,5.2,6.5,4.9,53.2,True
ID63,6.6,5.4,3.9,8.9,5.71,6.28,3.27,4.46,5.33,4.6,5.0,5.3,4.7,5.9,6.9,8.1,64.5,True
ID64,7.2,4.5,7.8,8.1,6.2,5.71,5.5,6.03,4.65,5.1,5.3,4.6,4.7,5.5,5.9,6.3,70.2,True
ID65,8.6,7.4,3.1,4.0,5.87,6.31,3.49,4.99,6.09,4.0,4.6,4.5,3.6,7.3,5.8,8.7,71.2,True
ID67,7.8,4.7,3.1,8.3,8.36,5.38,3.54,4.91,7.53,4.6,5.2,4.5,4.3,4.6,7.6,7.2,78.1,True
ID68,5.9,4.8,6.0,8.1,5.14,7.27,4.47,5.72,4.95,6.6,6.6,6.9,6.7,4.3,8.6,4.3,76.6,True
ID69,5.2,3.0,6.7,9.5,7.55,5.0,5.31,4.6,6.45,4.7,4.0,3.0,4.0,2.7,7.5,5.4,100.0,True
ID70,9.7,5.3,3.2,7.3,5.96,4.98,5.25,5.5,6.65,5.8,6.0,5.2,5.4,4.6,7.1,7.0,65.1,True
ID71,7.8,4.9,5.8,8.0,6.94,7.13,2.71,7.42,5.41,7.6,6.4,7.4,7.2,5.6,8.0,4.4,55.3,True
ID72,7.9,4.8,2.8,6.6,6.69,5.13,2.81,4.28,7.59,4.9,3.9,4.6,5.0,3.3,8.2,6.9,51.1,True
ID73,6.2,4.6,7.8,9.6,5.56,5.92,3.47,4.67,5.59,4.7,4.5,3.5,4.3,4.1,8.1,5.7,100.0,True
