Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID61,6.9,4.9,6.4,8.3,6.39,5.76,3.65,6.48,5.16,3.6,5.5,4.5,4.6,6.1,7.8,6.4,70.8,True
ID62,6.1,4.6,6.1,7.8,5.23,4.8,4.9,6.43,3.26,2.2,5.0,4.2,4.6,5.2,6.6,5.0,52.8,True
ID63,6.7,5.3,3.9,8.3,5.58,6.32,3.36,4.49,5.05,4.6,4.9,5.3,4.7,6.0,6.8,8.3,63.9,True
ID64,7.1,4.5,7.7,8.1,6.17,5.71,5.58,6.02,4.65,5.1,5.3,4.6,4.7,5.5,5.9,6.3,69.4,True
ID65,8.6,7.5,3.1,4.0,5.86,6.29,3.5,5.02,6.13,4.0,4.6,4.6,3.6,7.3,5.8,8.6,71.1,True
ID67,7.9,4.7,3.1,8.3,8.33,5.37,3.55,4.94,7.53,4.6,5.2,4.4,4.3,4.6,7.6,7.2,78.0,True
ID68,6.0,4.8,6.3,8.1,5.15,7.26,4.45,5.71,4.97,6.5,6.6,6.9,6.8,4.3,8.5,4.4,76.6,True
ID69,7.4,3.3,6.5,9.1,7.35,4.48,3.73,5.45,6.08,4.4,4.2,3.3,4.4,3.2,8.9,4.2,100.0,True
ID70,9.7,5.3,3.2,7.3,5.96,4.97,5.25,5.49,6.62,5.8,6.0,5.2,5.4,4.5,7.1,7.0,64.7,True
ID71,7.8,4.9,6.0,7.9,7.0,7.12,2.67,7.56,5.61,7.5,6.4,7.4,7.0,5.6,7.8,4.4,55.1,True
ID73,6.4,4.6,7.8,9.6,5.57,5.89,3.43,4.67,5.6,4.7,4.5,3.5,4.3,4.1,8.2,5.7,100.0,True
ID74,6.3,8.1,6.0,4.9,4.54,4.19,3.2,6.08,4.93,5.3,4.8,4.8,4.2,5.1,4.6,5.1,65.9,True
