Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID75,6.5,4.0,3.7,9.2,6.89,4.86,3.68,4.47,4.76,3.9,4.1,3.3,3.6,2.7,9.9,5.6,71.2,True
ID76,8.1,4.3,5.5,9.4,7.72,4.59,2.98,6.03,5.97,4.6,5.1,4.4,5.6,5.8,6.5,4.2,48.6,True
ID77,7.5,4.4,5.5,9.1,5.88,6.27,5.04,6.83,6.21,5.6,5.4,5.7,4.3,5.5,7.1,5.6,48.0,True
ID78,8.2,5.2,6.1,7.5,7.21,5.36,4.52,5.57,6.57,4.7,5.3,4.5,4.5,5.5,7.8,7.0,92.1,True
ID79,7.2,5.0,5.4,7.7,6.19,5.6,3.62,4.54,6.17,4.1,4.2,3.9,3.7,5.6,7.4,5.3,69.2,True
ID80,7.3,8.2,4.0,3.7,7.09,5.37,5.48,7.56,6.4,5.2,5.8,4.9,4.4,6.9,3.3,9.1,52.9,True
ID81,8.2,7.4,2.3,6.4,5.44,6.53,5.71,8.1,6.63,5.8,6.1,6.2,6.3,7.1,4.9,7.7,78.1,True
ID83,8.7,5.8,3.2,6.0,5.55,5.92,3.21,5.67,6.1,4.2,5.3,4.1,3.8,7.3,6.4,9.2,72.1,True
ID84,7.9,3.8,5.6,7.2,6.95,5.26,4.85,5.53,7.3,4.7,5.6,4.5,4.6,5.3,6.3,6.9,45.7,True
ID85,7.7,4.3,6.2,6.0,7.33,5.1,4.47,5.48,4.99,3.7,5.7,3.8,4.2,2.4,6.0,6.7,46.4,True
ID86,6.8,9.2,4.7,3.6,5.89,6.6,4.25,6.12,4.76,3.7,6.2,4.2,4.3,6.3,6.1,7.8,75.1,True
ID87,9.0,6.4,4.7,6.4,5.22,6.24,5.31,7.15,4.59,3.1,6.0,5.9,5.8,6.7,5.0,7.1,79.9,True
ID88,9.0,4.8,4.3,6.3,5.92,6.49,2.65,4.66,3.87,4.3,4.7,5.4,4.9,5.1,7.4,7.6,72.3,True
ID89,8.9,4.7,3.8,6.9,8.28,3.96,3.22,5.91,6.15,5.0,3.9,3.5,3.6,3.1,8.6,4.7,100.0,True
ID91,6.3,4.4,5.0,8.2,7.02,5.28,5.12,6.79,6.48,5.1,5.2,4.9,5.1,5.0,7.4,6.9,51.1,True
ID92,5.4,3.6,4.4,8.8,5.87,4.97,2.68,4.16,5.49,6.2,5.1,5.7,5.1,4.1,8.3,4.9,54.1,True
ID93,6.9,5.3,4.8,6.2,7.45,4.71,4.15,4.93,6.74,5.5,5.5,4.7,5.2,3.5,8.2,4.0,61.7,True
ID94,9.1,3.5,4.1,8.7,7.96,4.86,4.1,5.68,5.86,5.5,4.5,3.2,4.7,3.8,8.3,5.5,70.9,True
ID95,6.7,5.8,3.2,7.3,5.96,5.79,4.85,6.53,5.73,4.3,5.5,5.1,4.5,6.9,6.6,6.5,73.1,True
ID96,5.8,7.3,5.6,7.3,6.04,5.45,4.85,6.76,6.6,5.6,5.2,6.1,5.3,5.2,7.0,5.4,97.6,True
ID97,4.8,3.5,6.5,9.0,5.55,5.28,2.48,5.13,4.64,5.8,4.8,4.4,4.7,4.4,8.8,3.4,81.9,True
ID98,7.4,3.8,4.8,8.0,5.96,5.6,4.7,4.52,5.19,4.2,4.3,3.4,3.7,4.1,8.3,7.7,55.3,True
ID99,8.1,6.9,4.2,5.3,7.34,4.87,4.39,5.02,5.88,5.2,5.3,4.3,5.5,5.7,5.0,5.0,64.5,True
ID100,6.9,4.3,4.7,8.1,7.09,5.46,5.34,6.76,5.94,4.1,5.0,5.2,4.9,5.1,5.5,7.8,75.8,True
ID101,7.5,3.7,5.5,7.4,7.01,5.21,2.96,5.02,6.69,4.7,3.9,4.0,3.9,4.5,8.6,4.8,79.6,True
ID72,7.7,4.9,3.2,6.6,6.67,5.1,2.88,4.22,7.6,5.0,3.9,4.6,5.0,3.4,8.1,7.0,51.8,True
ID82,6.5,5.3,3.4,4.2,6.08,5.25,3.99,4.09,4.17,5.2,4.1,4.3,5.7,5.5,7.7,7.2,100.0,True
ID2,5.6,3.9,6.4,9.5,5.58,4.88,3.56,3.71,4.85,5.4,4.0,3.4,4.7,3.0,8.7,4.0,66.5,True
ID3,6.5,5.3,6.0,8.3,5.61,6.58,3.97,5.58,5.14,5.3,5.9,5.2,5.7,5.3,7.6,5.0,60.0,True
ID4,6.6,5.8,5.2,6.0,5.87,6.41,5.56,6.71,3.99,4.5,5.1,4.6,4.5,6.2,5.8,6.4,100.0,True
ID5,5.6,4.7,2.8,8.5,7.04,4.38,4.81,5.84,6.43,4.1,5.3,5.2,4.2,6.2,6.7,6.7,55.3,True
ID6,6.8,2.2,4.3,8.4,5.91,4.9,4.94,4.76,4.82,3.7,4.6,3.3,3.5,3.9,6.8,6.9,53.6,True
ID7,7.2,4.4,6.1,8.3,6.08,5.45,3.79,5.26,4.82,4.4,5.4,3.9,4.6,5.9,8.1,4.4,61.7,True
ID8,7.1,4.3,4.4,7.7,5.75,6.18,3.33,5.11,5.87,5.5,5.3,4.2,5.1,5.0,7.4,7.9,70.8,True
ID9,6.4,5.2,6.0,9.0,5.86,5.96,3.65,5.3,4.51,4.3,4.8,3.5,3.8,5.6,7.0,5.8,60.0,True
ID10,7.6,5.0,5.2,8.1,5.69,5.49,5.34,6.21,4.79,4.8,5.1,3.8,4.0,5.7,7.1,7.4,76.3,True
ID11,5.1,8.0,6.4,5.4,5.08,7.69,5.82,6.48,5.27,7.2,7.9,8.2,8.3,6.0,3.9,7.6,79.7,True
ID12,6.1,5.6,6.5,5.7,6.24,5.81,2.93,4.46,5.32,4.2,3.9,4.1,4.4,5.9,7.9,7.1,82.4,True
ID13,7.4,4.2,3.6,8.4,6.76,5.49,4.91,5.67,5.67,3.5,4.7,5.8,5.7,5.9,7.0,7.1,59.9,True
ID14,6.9,4.9,5.3,7.5,7.11,5.43,2.26,5.4,4.99,4.2,4.6,3.8,3.8,5.7,6.8,7.0,79.3,True
ID15,8.2,5.0,3.2,5.6,7.69,5.7,4.28,4.96,8.17,5.2,4.5,4.1,4.3,5.8,7.1,8.4,79.4,True
ID17,5.5,4.8,5.8,9.2,6.64,4.99,5.8,6.6,6.32,3.7,5.4,4.5,4.3,6.4,6.0,3.9,59.1,True
ID18,4.9,5.2,7.3,7.0,6.0,5.63,5.05,6.42,4.89,4.0,5.2,4.5,4.7,6.2,6.4,6.3,78.3,True
ID19,6.8,6.4,2.7,5.0,6.86,5.45,2.5,4.75,5.4,5.9,5.0,4.8,5.1,6.7,5.9,8.3,74.9,True
ID20,5.5,4.4,4.2,8.0,6.02,5.76,2.79,4.55,5.09,6.0,4.2,4.7,5.3,5.6,7.7,7.1,91.6,True
ID21,5.6,4.9,5.9,8.3,7.13,5.92,3.41,4.53,5.69,6.6,5.0,6.0,5.7,3.1,8.7,4.1,78.1,True
ID24,5.3,6.4,5.4,4.7,5.69,7.53,2.38,5.04,5.31,5.4,6.0,7.6,5.7,8.4,5.9,5.1,61.9,True
ID25,6.1,5.3,4.3,8.0,5.68,5.65,3.82,5.55,5.99,5.8,5.9,5.4,5.0,6.3,7.7,5.7,94.4,True
ID26,6.0,4.0,5.8,9.5,6.12,6.03,3.39,5.79,6.66,5.7,5.7,5.8,5.3,5.1,6.3,4.1,72.6,True
ID28,9.1,4.1,4.5,6.3,7.34,4.58,5.75,6.73,5.96,4.8,5.9,5.2,6.0,5.2,6.1,5.5,70.0,True
ID29,8.5,4.9,3.6,6.2,6.25,4.57,5.73,5.39,4.7,4.2,4.9,3.9,3.5,5.4,7.0,5.5,53.6,True
ID30,5.6,4.8,4.7,6.5,6.55,5.86,5.55,5.79,6.48,5.1,4.3,3.9,3.5,5.0,6.6,7.5,75.0,True
ID31,8.1,5.0,2.9,6.6,5.85,5.99,3.79,4.95,6.44,5.2,4.9,3.6,4.5,5.7,6.5,8.6,65.1,True
ID32,7.2,7.0,4.3,6.9,6.15,5.24,5.29,6.84,7.04,6.6,5.2,4.9,4.4,7.0,5.9,8.3,89.1,True
ID33,8.5,5.6,3.7,6.6,6.37,4.31,4.7,5.59,5.55,4.2,5.1,4.2,4.2,5.8,6.9,6.3,55.1,True
ID34,5.2,7.0,5.4,6.2,5.26,5.82,5.21,7.84,5.27,5.3,6.6,4.5,3.9,6.8,6.0,7.8,86.6,True
ID35,6.2,5.9,5.6,6.4,6.09,6.36,4.3,6.8,6.3,5.1,6.3,5.8,5.8,6.1,7.1,5.7,57.9,True
ID36,4.9,5.9,6.1,6.8,4.66,6.28,3.4,6.56,3.59,5.0,6.1,5.3,4.9,6.0,6.1,6.8,100.0,True
ID38,4.6,6.3,5.6,5.4,6.67,5.53,5.68,6.97,6.09,5.8,6.2,4.9,3.8,5.7,5.5,7.4,89.9,True
ID39,7.4,5.6,5.1,7.9,5.43,6.32,4.86,6.25,4.48,4.3,5.1,5.2,3.8,6.6,6.1,7.0,78.1,True
ID40,6.8,6.4,5.4,4.1,5.91,5.92,4.75,5.77,7.01,5.3,5.2,4.1,5.4,7.5,5.7,7.4,82.5,True
ID41,6.1,5.2,4.4,7.1,8.23,5.12,5.49,6.07,5.01,4.9,5.8,5.5,5.3,5.3,4.8,5.5,100.0,True
ID42,7.3,4.8,5.0,7.0,6.41,5.47,3.92,4.29,6.52,4.5,4.3,5.1,5.4,4.7,6.4,7.5,56.7,True
ID44,6.6,4.4,4.5,9.4,7.84,6.85,3.58,3.94,5.79,4.3,6.0,5.1,5.4,3.0,8.8,7.3,76.2,True
ID45,5.7,4.6,7.4,9.3,6.66,5.66,3.28,5.5,5.78,5.4,4.8,3.7,4.9,4.0,8.8,3.6,80.4,True
ID46,8.1,3.8,3.4,7.5,5.98,5.18,3.49,3.75,5.17,2.9,4.2,4.9,4.3,3.7,9.0,7.4,67.3,True
ID48,7.8,7.6,3.5,3.3,6.6,5.56,5.07,7.15,6.95,3.3,6.1,4.6,4.2,7.0,5.4,8.2,54.6,True
ID49,7.8,5.0,3.3,6.8,5.87,5.62,2.96,4.78,6.9,5.7,4.5,5.6,5.8,5.3,7.5,7.5,49.8,True
ID50,6.6,5.0,3.1,8.6,5.92,5.68,5.04,4.97,6.69,5.8,5.0,5.5,4.6,4.7,7.0,9.3,65.7,True
ID51,9.4,4.4,4.4,6.2,5.2,5.72,3.13,6.0,7.11,4.7,4.3,3.8,3.9,5.6,6.7,7.0,63.7,True
ID53,6.1,4.5,4.3,7.9,4.8,5.93,5.66,5.21,4.87,4.2,5.3,4.0,4.1,4.8,7.4,6.3,66.9,True
ID54,5.3,4.4,8.8,9.3,6.5,6.68,3.67,6.68,6.32,5.5,5.3,5.4,6.1,5.0,6.9,6.9,100.0,True
ID55,6.4,4.7,5.9,9.2,7.46,4.6,5.27,6.22,6.21,5.9,5.6,5.0,5.1,4.6,5.4,4.2,65.6,True
ID56,7.4,6.8,4.2,7.6,6.69,5.65,4.16,5.69,6.34,5.2,5.7,4.9,4.4,4.6,6.9,6.3,46.9,True
ID58,8.4,4.4,4.3,9.7,6.04,6.14,3.65,4.76,5.04,5.5,5.4,3.9,3.8,5.0,7.7,8.4,60.6,True
ID59,7.4,4.9,5.3,9.7,6.78,4.27,4.77,6.12,6.4,2.8,5.2,4.1,4.1,5.5,8.0,4.2,56.0,True
ID60,7.6,3.3,5.8,8.7,8.34,5.51,2.37,4.18,6.69,1.9,4.9,4.9,5.6,3.9,8.0,4.6,52.9,True
