Participant_ID,Dominance,Influence,Steadiness,DiSC Calculativeness,Openness,Big Five Conscientiousness,Extraversion,Agreeableness,Emotional Stability,Attitude and Outlook,Need for Autonomy,Teamwork Skills,General Behavior,Action Orientedness,Stability Potential,Learning Ability,Confidence Score,output_success
ID2,5.5,4.0,6.4,9.5,5.49,4.86,3.72,3.8,4.86,5.4,4.0,3.3,4.7,3.0,8.8,4.0,66.3,True
ID3,6.5,5.2,6.0,8.3,5.6,6.65,3.95,5.54,5.25,5.3,5.8,5.1,5.7,5.2,7.9,5.0,59.7,True
ID4,6.6,5.3,5.2,6.6,6.28,6.87,5.12,6.63,3.38,5.0,5.2,4.8,4.6,6.0,5.5,6.7,100.0,True
ID5,5.6,4.7,2.8,8.5,7.04,4.35,4.81,5.85,6.46,4.1,5.3,5.2,4.2,6.2,6.7,6.7,55.3,True
ID6,6.8,2.2,4.3,8.4,5.82,4.95,4.95,4.66,4.79,3.8,4.5,3.3,3.5,4.0,6.8,6.9,53.2,True
ID7,7.2,4.4,6.1,8.3,6.08,5.45,3.79,5.26,4.82,4.4,5.4,3.9,4.6,5.9,8.1,4.4,61.7,True
ID8,7.1,4.3,4.4,7.7,5.75,6.18,3.33,5.11,5.87,5.5,5.3,4.2,5.1,5.0,7.4,7.9,70.8,True
ID9,6.4,5.2,6.0,9.0,5.87,5.97,3.67,5.3,4.51,4.3,4.8,3.5,3.8,5.6,7.0,5.8,59.9,True
ID10,7.6,5.1,5.2,7.9,5.66,5.4,5.4,6.28,4.9,5.0,5.1,3.7,4.1,5.6,7.1,7.5,75.6,True
ID11,5.0,8.0,6.5,5.4,5.1,7.74,5.82,6.49,5.33,7.2,8.0,8.2,8.3,6.0,4.0,7.6,79.5,True
ID13,7.4,4.2,3.6,8.4,6.81,5.49,4.9,5.73,5.86,3.5,4.8,5.8,5.7,5.9,6.9,7.1,60.0,True
ID14,6.9,4.9,5.3,7.5,7.11,5.43,2.26,5.4,4.99,4.2,4.6,3.8,3.8,5.7,6.8,7.0,79.3,True
ID15,7.9,4.9,3.1,5.6,7.65,5.67,4.28,5.17,8.16,5.1,4.5,4.0,4.3,5.7,7.2,8.4,79.0,True
ID17,5.3,4.9,5.9,9.1,7.0,5.35,5.51,6.71,6.26,4.8,5.4,4.6,4.7,5.8,6.5,3.1,58.1,True
ID18,4.9,5.2,7.3,7.0,6.0,5.63,5.05,6.42,4.89,4.0,5.2,4.5,4.7,6.2,6.4,6.3,78.3,True
ID19,6.8,6.4,2.7,5.0,6.79,5.47,2.5,4.84,5.42,5.9,5.0,4.8,5.1,6.7,5.9,8.2,74.7,True
ID20,5.5,4.4,4.2,8.0,6.02,5.76,2.79,4.55,5.09,6.0,4.2,4.7,5.3,5.6,7.7,7.1,91.6,True
ID21,5.6,4.9,6.0,8.3,7.08,5.91,3.42,4.52,5.68,6.6,5.0,6.0,5.8,3.1,8.7,4.1,78.0,True
ID24,5.1,6.4,5.3,4.7,5.65,7.48,2.44,5.16,5.44,5.4,6.0,7.7,5.7,8.4,5.8,4.9,61.2,True
ID25,6.0,5.3,4.2,8.1,5.64,5.59,3.81,5.54,5.91,5.9,6.3,5.4,5.0,6.3,7.5,5.7,94.0,True
ID26,6.0,4.0,5.8,9.5,6.12,6.09,3.79,5.84,6.68,5.7,5.8,5.8,5.3,5.1,6.4,4.1,72.3,True
ID28,9.1,4.0,4.5,6.4,7.72,4.68,5.7,6.76,6.35,5.0,5.8,4.7,5.0,5.3,6.3,5.1,70.6,True
ID29,8.5,4.9,3.7,6.2,6.25,4.58,5.72,5.34,4.69,4.2,4.9,3.8,3.5,5.5,7.0,5.5,53.1,True
ID30,5.5,4.8,4.7,6.3,6.6,5.94,5.56,5.78,6.46,5.1,4.2,3.8,3.6,5.1,6.4,7.5,74.4,True
